user_id,title,feedback,ts
hanna,Arrival,-1,2026-03-29 23:23:31.535396
hanna,Inception,1,2026-03-23 23:23:31.535427
hanna,The Martian,1,2026-04-13 23:23:31.535457
hanna,Amélie,1,2026-04-13 23:23:31.535474
hanna,The Dark Knight,-1,2026-04-06 23:23:31.535490
barbara,Hitch,1,2026-03-18 23:23:31.535536
barbara,Amélie,-1,2026-03-18 23:23:31.535553
barbara,Arrival,1,2026-03-19 23:23:31.535569
barbara,The Dark Knight,-1,2026-03-30 23:23:31.535591
barbara,Parasite,1,2026-04-08 23:23:31.535609
christoph,Her,1,2026-03-28 23:23:31.535645
christoph,Arrival,-1,2026-04-01 23:23:31.535658
christoph,About Time,1,2026-04-05 23:23:31.535665
christoph,Parasite,1,2026-03-25 23:23:31.535673
christoph,The Dark Knight,-1,2026-04-05 23:23:31.535683
oleksandra,The Dark Knight,1,2026-03-16 23:23:31.535703
oleksandra,Parasite,1,2026-03-24 23:23:31.535714
oleksandra,Arrival,1,2026-04-11 23:23:31.535722
oleksandra,Hitch,1,2026-04-09 23:23:31.535729
oleksandra,WALL-E,1,2026-03-19 23:23:31.535736
thomas,Arrival,1,2026-03-20 23:23:31.535755
thomas,Parasite,-1,2026-03-22 23:23:31.535763
thomas,Inception,1,2026-03-25 23:23:31.535770
thomas,The Dark Knight,-1,2026-04-13 23:23:31.535780
thomas,WALL-E,1,2026-04-12 23:23:31.535788
